# acceptance rate 2.79
# Om   w   H0   log_like
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.042 -0.940 72.673 -231.566
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.064 -0.992 72.781 -229.558
0.078 -1.052 73.417 -230.268
