# acceptance rate 0.42
# Om   w   H0
0.585 -0.288 57.846
0.591 -0.274 57.753
0.603 -0.317 57.813
0.621 -0.444 58.299
0.625 -0.483 58.376
0.625 -0.483 58.376
0.690 -0.508 57.887
0.690 -0.508 57.887
0.690 -0.508 57.887
0.674 -0.522 58.047
0.649 -0.416 58.136
0.531 -0.368 58.156
0.531 -0.368 58.156
0.537 -0.382 58.189
0.541 -0.393 58.209
0.516 -0.430 58.579
0.516 -0.430 58.579
0.516 -0.430 58.579
0.516 -0.430 58.579
0.458 -0.319 58.640
0.458 -0.319 58.640
0.458 -0.319 58.640
0.458 -0.319 58.640
0.458 -0.319 58.640
0.462 -0.324 58.684
0.494 -0.377 58.582
0.412 -0.335 58.611
0.468 -0.423 58.616
0.468 -0.423 58.616
0.468 -0.423 58.616
0.640 -0.560 58.926
0.640 -0.560 58.926
0.637 -0.542 58.843
0.637 -0.542 58.843
0.642 -0.552 59.047
0.642 -0.552 59.047
0.642 -0.552 59.047
0.642 -0.552 59.047
0.642 -0.552 59.047
0.642 -0.552 59.047
0.643 -0.570 58.926
0.719 -0.745 58.346
0.719 -0.745 58.346
0.735 -0.651 57.821
0.726 -0.634 57.870
0.726 -0.634 57.870
0.726 -0.634 57.870
0.726 -0.634 57.870
0.726 -0.633 57.871
0.712 -0.617 57.857
0.712 -0.617 57.857
0.659 -0.588 58.380
0.671 -0.595 58.290
0.580 -0.442 58.828
0.580 -0.442 58.828
0.580 -0.442 58.828
0.580 -0.442 58.828
0.613 -0.549 58.691
0.613 -0.549 58.691
0.617 -0.566 58.688
0.616 -0.566 58.687
0.616 -0.566 58.687
0.614 -0.559 58.656
0.633 -0.569 58.502
0.633 -0.569 58.502
0.629 -0.568 58.502
0.567 -0.518 58.554
0.552 -0.443 58.319
0.554 -0.449 58.334
0.554 -0.449 58.334
0.554 -0.449 58.334
0.550 -0.481 58.505
0.550 -0.481 58.505
0.550 -0.481 58.505
0.522 -0.448 58.635
0.522 -0.448 58.635
0.522 -0.448 58.635
0.522 -0.459 58.744
0.590 -0.549 58.562
0.590 -0.549 58.562
0.588 -0.550 58.567
0.666 -0.698 58.708
0.668 -0.713 58.776
0.668 -0.713 58.776
0.668 -0.713 58.776
0.723 -0.772 58.274
0.698 -0.749 58.289
0.764 -1.107 58.903
0.764 -1.107 58.903
0.764 -1.107 58.903
0.764 -1.107 58.903
0.766 -1.111 58.900
0.766 -1.111 58.900
0.766 -1.111 58.900
0.758 -1.089 58.901
0.758 -1.089 58.901
0.777 -0.885 58.457
0.737 -0.740 58.259
0.737 -0.740 58.259
0.737 -0.740 58.259
0.737 -0.740 58.259
0.704 -0.605 58.048
0.704 -0.605 58.048
0.704 -0.605 58.048
0.730 -0.645 58.065
0.730 -0.645 58.065
0.729 -0.640 58.081
0.729 -0.640 58.081
0.729 -0.640 58.081
0.729 -0.640 58.081
0.729 -0.640 58.081
0.769 -0.725 57.704
0.769 -0.725 57.704
0.697 -0.618 57.880
0.697 -0.618 57.880
0.697 -0.618 57.880
0.697 -0.618 57.880
0.723 -0.683 57.924
0.438 -0.460 58.990
0.438 -0.460 58.990
0.340 -0.317 59.101
0.340 -0.317 59.101
0.340 -0.317 59.101
0.340 -0.317 59.101
0.340 -0.317 59.101
0.340 -0.317 59.101
0.340 -0.317 59.101
0.340 -0.317 59.101
0.293 -0.283 59.186
0.293 -0.283 59.186
0.293 -0.283 59.186
0.293 -0.283 59.186
0.293 -0.283 59.186
0.312 -0.307 59.200
0.312 -0.307 59.200
0.312 -0.307 59.200
0.312 -0.307 59.200
0.312 -0.307 59.200
0.312 -0.307 59.200
0.312 -0.307 59.200
0.312 -0.307 59.200
0.312 -0.307 59.200
0.312 -0.307 59.200
0.312 -0.307 59.200
0.312 -0.307 59.200
0.312 -0.307 59.200
0.312 -0.307 59.200
0.206 -0.269 59.656
0.206 -0.269 59.656
0.206 -0.269 59.656
0.206 -0.269 59.656
