# acceptance rate 0.44
# Om   w   H0
0.367 0.152 54.192
0.367 0.152 54.192
0.373 0.152 54.207
0.499 0.169 54.274
0.499 0.169 54.274
0.499 0.169 54.274
0.632 0.194 54.212
0.632 0.194 54.212
0.632 0.194 54.212
0.632 0.194 54.212
0.635 0.188 54.260
0.635 0.188 54.260
0.635 0.188 54.260
0.678 0.199 54.426
0.678 0.199 54.426
0.678 0.199 54.426
0.678 0.199 54.426
0.678 0.199 54.426
0.758 0.206 54.569
0.584 0.182 54.509
0.594 0.181 54.550
0.594 0.181 54.550
0.594 0.181 54.550
0.556 0.176 54.416
0.405 0.142 54.567
0.405 0.142 54.567
0.405 0.142 54.567
0.422 0.143 54.606
0.343 0.133 54.561
0.277 0.126 54.478
0.277 0.126 54.478
0.277 0.126 54.478
0.277 0.126 54.478
0.251 0.122 54.448
0.251 0.122 54.448
0.268 0.130 54.370
0.136 0.123 54.298
0.136 0.123 54.298
0.136 0.123 54.298
0.136 0.123 54.298
0.097 0.113 54.435
0.140 0.123 54.384
0.223 0.164 54.034
0.205 0.143 54.057
0.143 0.140 53.977
0.143 0.140 53.977
0.007 0.128 53.964
0.056 0.120 54.051
0.056 0.120 54.051
0.007 0.120 53.977
0.007 0.120 53.977
0.007 0.120 53.977
0.007 0.120 53.977
0.007 0.120 53.977
0.007 0.120 53.977
0.007 0.120 53.977
0.015 0.119 53.997
0.015 0.119 53.997
0.015 0.119 53.997
0.111 0.137 53.976
0.162 0.169 53.672
0.162 0.169 53.672
0.162 0.169 53.672
0.162 0.169 53.672
0.202 0.201 53.339
0.169 0.154 53.768
0.144 0.155 53.821
0.176 0.149 53.914
0.176 0.149 53.914
0.177 0.149 53.917
0.243 0.170 53.888
0.300 0.186 53.870
0.300 0.186 53.870
0.300 0.186 53.870
0.300 0.186 53.870
0.275 0.183 53.816
0.273 0.182 53.813
0.273 0.182 53.813
0.273 0.182 53.813
0.273 0.182 53.813
0.302 0.176 53.952
0.324 0.182 53.936
0.246 0.152 54.095
0.250 0.154 54.080
0.227 0.149 54.117
0.241 0.152 54.095
0.118 0.130 54.201
0.118 0.130 54.201
0.118 0.130 54.201
0.118 0.130 54.201
0.118 0.130 54.201
0.136 0.129 54.309
0.136 0.129 54.309
0.136 0.129 54.309
0.136 0.129 54.309
0.136 0.129 54.301
0.136 0.129 54.301
0.136 0.129 54.301
0.136 0.129 54.301
0.200 0.148 54.210
0.200 0.148 54.210
0.200 0.148 54.210
0.200 0.148 54.210
0.306 0.131 54.477
0.306 0.131 54.477
0.306 0.131 54.477
0.306 0.131 54.477
0.304 0.131 54.473
0.297 0.129 54.459
0.297 0.129 54.459
0.297 0.129 54.459
0.318 0.128 54.492
0.317 0.128 54.489
0.317 0.128 54.489
0.317 0.128 54.489
