# acceptance rate 12.69
# Om   w   H0   log_like
0.321 -1.080 68.918 -644.209
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.320 -1.089 68.938 -643.846
0.308 -1.102 69.134 -644.597
0.308 -1.102 69.134 -644.597
0.304 -1.152 69.695 -647.044
0.304 -1.152 69.695 -647.044
0.305 -1.069 69.464 -647.523
0.305 -1.069 69.464 -647.523
0.305 -1.069 69.464 -647.523
0.305 -1.069 69.464 -647.523
0.305 -1.069 69.464 -647.523
0.305 -1.069 69.464 -647.523
0.305 -1.069 69.464 -647.523
0.305 -1.069 69.464 -647.523
0.305 -1.069 69.464 -647.523
0.305 -1.069 69.464 -647.523
0.305 -1.069 69.464 -647.523
0.305 -1.069 69.464 -647.523
0.305 -1.069 69.464 -647.523
0.305 -1.069 69.464 -647.523
0.292 -1.013 69.082 -645.762
0.336 -1.077 68.155 -642.861
0.339 -1.072 67.950 -643.142
0.339 -1.072 67.950 -643.142
0.339 -1.072 67.950 -643.142
0.339 -1.072 67.950 -643.142
0.351 -1.092 68.172 -643.360
0.351 -1.092 68.172 -643.360
0.351 -1.092 68.172 -643.360
0.351 -1.092 68.172 -643.360
0.351 -1.092 68.172 -643.360
0.351 -1.092 68.172 -643.360
0.351 -1.092 68.172 -643.360
0.351 -1.092 68.172 -643.360
0.346 -1.136 68.222 -643.457
0.346 -1.136 68.222 -643.457
0.362 -1.165 68.009 -643.647
0.371 -1.158 67.754 -643.943
0.317 -1.098 68.753 -643.853
0.317 -1.098 68.753 -643.853
0.317 -1.098 68.753 -643.853
0.317 -1.098 68.753 -643.853
0.317 -1.098 68.753 -643.853
0.317 -1.098 68.753 -643.853
0.317 -1.098 68.753 -643.853
0.317 -1.098 68.753 -643.853
0.317 -1.098 68.753 -643.853
0.317 -1.098 68.753 -643.853
0.317 -1.098 68.753 -643.853
0.322 -1.072 68.621 -643.145
0.322 -1.072 68.621 -643.145
0.322 -1.072 68.621 -643.145
0.322 -1.072 68.621 -643.145
0.322 -1.072 68.621 -643.145
0.322 -1.072 68.621 -643.145
0.322 -1.072 68.621 -643.145
0.291 -1.036 69.243 -645.657
0.291 -1.036 69.243 -645.657
0.291 -1.036 69.243 -645.657
0.291 -1.036 69.243 -645.657
0.282 -1.041 69.238 -646.014
0.282 -1.041 69.238 -646.014
0.301 -1.031 68.537 -643.836
0.301 -1.031 68.537 -643.836
0.301 -1.031 68.537 -643.836
0.317 -0.979 67.862 -643.266
0.317 -0.979 67.862 -643.266
0.317 -0.979 67.862 -643.266
0.317 -0.979 67.862 -643.266
0.317 -0.979 67.862 -643.266
0.317 -0.979 67.862 -643.266
0.292 -0.962 68.202 -643.293
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.319 -0.970 67.764 -643.531
0.296 -0.966 68.092 -643.217
0.296 -0.966 68.092 -643.217
0.285 -0.965 68.456 -643.686
0.285 -0.965 68.456 -643.686
0.321 -0.954 67.456 -643.767
0.308 -0.945 67.837 -643.726
0.308 -0.945 67.837 -643.726
0.308 -0.945 67.837 -643.726
0.308 -0.945 67.837 -643.726
0.285 -0.984 68.347 -644.463
0.311 -0.987 68.478 -645.685
0.311 -0.987 68.478 -645.685
0.311 -0.987 68.478 -645.685
0.311 -0.987 68.478 -645.685
0.311 -0.987 68.478 -645.685
0.299 -0.978 68.458 -644.069
0.299 -0.978 68.458 -644.069
0.354 -1.058 67.488 -643.919
0.364 -1.115 68.176 -644.620
0.364 -1.115 68.176 -644.620
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.353 -1.101 68.032 -643.000
0.341 -1.113 68.373 -642.754
0.346 -1.159 68.707 -642.820
0.346 -1.159 68.707 -642.820
0.346 -1.159 68.707 -642.820
0.346 -1.159 68.707 -642.820
0.346 -1.159 68.707 -642.820
0.346 -1.159 68.707 -642.820
0.336 -1.216 69.046 -645.378
0.336 -1.216 69.046 -645.378
0.336 -1.216 69.046 -645.378
0.336 -1.216 69.046 -645.378
0.339 -1.195 68.834 -644.557
0.339 -1.195 68.834 -644.557
0.339 -1.195 68.834 -644.557
0.339 -1.195 68.834 -644.557
0.364 -1.162 68.321 -642.913
0.363 -1.205 68.387 -643.024
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.369 -1.145 67.933 -643.234
0.361 -1.119 68.077 -643.279
0.361 -1.119 68.077 -643.279
0.361 -1.119 68.077 -643.279
0.361 -1.119 68.077 -643.279
0.361 -1.119 68.077 -643.279
0.361 -1.119 68.077 -643.279
0.361 -1.119 68.077 -643.279
0.361 -1.119 68.077 -643.279
0.361 -1.119 68.077 -643.279
0.361 -1.119 68.077 -643.279
0.361 -1.119 68.077 -643.279
0.361 -1.119 68.077 -643.279
0.361 -1.119 68.077 -643.279
0.361 -1.119 68.077 -643.279
0.293 -1.036 68.663 -645.009
0.293 -1.036 68.663 -645.009
0.293 -1.036 68.663 -645.009
0.293 -1.036 68.663 -645.009
0.293 -1.036 68.663 -645.009
0.293 -1.036 68.663 -645.009
0.322 -1.024 67.712 -644.565
0.322 -1.024 67.712 -644.565
0.322 -1.024 67.712 -644.565
0.322 -1.024 67.712 -644.565
0.322 -1.024 67.712 -644.565
0.322 -1.024 67.712 -644.565
0.322 -1.024 67.712 -644.565
0.322 -1.024 67.712 -644.565
0.322 -1.024 67.712 -644.565
0.345 -1.003 67.137 -644.910
0.345 -1.003 67.137 -644.910
0.345 -1.003 67.137 -644.910
0.345 -1.003 67.137 -644.910
0.302 -0.962 67.588 -644.645
0.302 -0.962 67.588 -644.645
0.294 -0.953 67.526 -646.408
0.294 -0.953 67.526 -646.408
0.294 -0.953 67.526 -646.408
0.294 -0.953 67.526 -646.408
0.294 -0.953 67.526 -646.408
0.294 -0.953 67.526 -646.408
0.298 -0.969 68.501 -644.868
0.295 -0.979 68.573 -644.230
0.295 -0.979 68.573 -644.230
0.295 -0.979 68.573 -644.230
0.295 -0.979 68.573 -644.230
0.338 -0.976 67.503 -644.883
0.330 -0.917 66.644 -646.601
0.323 -0.951 67.406 -643.940
0.323 -0.951 67.406 -643.940
0.323 -0.951 67.406 -643.940
0.323 -0.951 67.406 -643.940
0.323 -0.951 67.406 -643.940
0.323 -0.951 67.406 -643.940
0.323 -0.951 67.406 -643.940
0.323 -0.951 67.406 -643.940
0.325 -1.040 68.041 -643.074
0.334 -1.035 67.817 -643.118
0.334 -1.035 67.817 -643.118
0.334 -1.035 67.817 -643.118
0.334 -1.035 67.817 -643.118
0.334 -1.035 67.817 -643.118
0.334 -1.035 67.817 -643.118
0.334 -1.035 67.817 -643.118
0.334 -1.035 67.817 -643.118
0.334 -1.035 67.817 -643.118
0.334 -1.035 67.817 -643.118
0.334 -1.035 67.817 -643.118
0.334 -1.035 67.817 -643.118
0.334 -1.035 67.817 -643.118
0.328 -1.051 68.039 -643.083
0.328 -1.051 68.039 -643.083
0.328 -1.051 68.039 -643.083
0.328 -1.051 68.039 -643.083
0.336 -1.051 68.103 -643.079
0.336 -1.051 68.103 -643.079
0.336 -1.051 68.103 -643.079
0.341 -1.094 67.778 -645.207
0.341 -1.094 67.778 -645.207
0.341 -1.094 67.778 -645.207
0.341 -1.094 67.778 -645.207
0.341 -1.094 67.778 -645.207
0.341 -1.094 67.778 -645.207
0.341 -1.094 67.778 -645.207
0.354 -1.118 68.102 -642.860
0.354 -1.118 68.102 -642.860
0.354 -1.118 68.102 -642.860
0.354 -1.118 68.102 -642.860
0.354 -1.118 68.102 -642.860
0.354 -1.118 68.102 -642.860
0.354 -1.118 68.102 -642.860
0.354 -1.118 68.102 -642.860
0.354 -1.118 68.102 -642.860
0.354 -1.118 68.102 -642.860
0.354 -1.118 68.102 -642.860
0.340 -1.172 68.674 -643.860
0.340 -1.172 68.674 -643.860
0.340 -1.172 68.674 -643.860
0.340 -1.172 68.674 -643.860
0.340 -1.172 68.674 -643.860
0.340 -1.172 68.674 -643.860
0.340 -1.172 68.674 -643.860
0.327 -1.142 68.676 -644.820
0.327 -1.142 68.676 -644.820
0.327 -1.142 68.676 -644.820
0.327 -1.142 68.676 -644.820
0.327 -1.142 68.676 -644.820
0.327 -1.142 68.676 -644.820
0.327 -1.142 68.676 -644.820
0.327 -1.142 68.676 -644.820
0.343 -1.110 68.720 -644.421
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
0.322 -1.085 68.438 -643.686
